State	Population 2011	Population 2023	Rural Population	Urban Population
ANDAMAN & NICOBAR	380,581	403,000	237,093	143,488
ANDHRA PRADESH	49,577,103	53,156,000	34,966,693	14,610,410
ARUNACHAL PRADESH	1,383,727	1,562,000	1,066,358	317,369
ASSAM	31,205,576	35,713,000	26,807,034	4,398,542
BIHAR	104,099,452	126,756,000	92,341,436	11,758,016
CHANDIGARH	1,055,450	1,231,000	28,991	1,026,459
CHHATTISGARH	25,545,198	30,180,000	19,607,961	5,937,237
DADRA & NAGAR HAVELI & DAMAN & DIU	585,764	1,263,000	243,510	342,254
GOA	1,458,545	1,575,000	551,731	906,814
GUJARAT	60,439,692	71,507,000	34,694,609	25,745,083
HARYANA	25,351,462	30,209,000	16,509,359	8,842,103
HIMACHAL PRADESH	6,864,602	7,468,000	6,176,050	688,552
JAMMU AND KASHMIR	12,267,032	13,603,000	9,064,220	3,202,812
JHARKHAND	32,988,134	39,466,000	25,055,073	7,933,061
KARNATAKA	61,095,297	67,692,000	37,469,335	23,625,962
KERALA	33,406,061	35,776,000	17,471,135	15,934,926
LADAKH	274,000	300,000	43,840	230,160
LAKSHADWEEP	64,473	69,000	14,141	50,332
MADHYA PRADESH	72,626,809	86,579,000	52,557,404	20,069,405
MAHARASHTRA	112,374,333	126,385,000	61,556,074	50,818,259
MANIPUR	2,570,390	3,223,000	1,793,875	776,515
MEGHALAYA	2,966,889	3,349,000	2,371,439	595,450
MIZORAM	1,097,206	1,238,000	525,435	571,771
NAGALAND	1,978,502	2,233,000	1,407,536	570,966
DELHI	16,787,941	21,359,000	419,042	16,368,899
ODISHA	41,974,219	46,276,000	34,970,562	7,003,656
PUDUCHERRY	1,247,953	1,646,000	395,200	852,753
PUNJAB	27,743,338	30,730,000	17,344,192	10,399,146
RAJASTHAN	68,548,437	81,025,000	51,500,352	17,048,085
SIKKIM	610,577	689,000	456,999	153,578
TAMIL NADU	72,147,030	76,860,000	37,229,590	34,917,440
TELANGANA	35,003,674	38,090,000	21,395,009	13,608,665
TRIPURA	3,673,917	4,147,000	2,712,464	961,453
UTTAR PRADESH	199,812,341	235,687,000	155,317,278	44,495,063
UTTARAKHAND	10,086,292	11,637,000	7,036,954	3,049,338
WEST BENGAL	91,276,115	99,084,000	62,183,113	29,093,002
